id;name;gobal_ttl;unicast;network_key;key_index;flag_refresh_phase;flag_iv_update;iv_index;app_key
1;Strategist;51630;71459;Licensed Cotton Ball;43352;43897;74404;7845;Electronics
2;Refined infomediaries Som;5819;17329;Table Enterprise-wide Benin;71459;18286;66019;93461;invoice
3;alarm Jamaica;61172;73003;Gorgeous Rubber Pants Cheese;12016;1439;34187;11607;Ergonomic Steel Gloves
4;Developer Shoes Music;76336;49161;Hollow Shoes systems;39850;4805;61585;94914;HTTP explicit
5;Personal Loan Account;50313;50103;Norfolk Island Chilean Peso Unidades de fomento Checking Account;94389;64241;94425;2651;New York Data North Dakota
6;North Carolina Granite;81120;54561;Web revolutionize Branding;90535;20668;19579;27396;yellow
7;Books Generic;68300;33655;withdrawal;38539;84487;68161;2327;open-source hybrid
8;Solomon Islands Dollar;34833;62894;HTTP system mobile;28203;54797;17743;42347;South Dakota Wyoming interface
9;incentivize;77641;58054;JSON Texas;23859;42899;67984;75087;compress Fantastic Global
10;Buckinghamshire monetize;29763;89552;streamline;1083;95854;90538;84714;granular
