id;name;value;uuid
1;Island cyan;Granite open architecture;32158
2;Licensed;Credit Card Account Sleek;87357
3;Regional;Home;86830
4;Handmade Savings Account Manager;cultivate Bedfordshire;61825
5;back-end Roads bypass;Concrete;13311
6;Bond Markets Units European Composite Unit (EURCO) connecting generate;Refined;44741
7;Hungary Configurable;interface;18228
8;Kentucky;blue internet solution Concrete;89052
9;Investment Account Indian Rupee;withdrawal Club Nebraska;73682
10;Pennsylvania Michigan;Cotton encompassing;36308
